Nome,Pontuacao,Nivel
Nabo Anónimo,874,2
wad as,752,2
hj,102,2
ddddddddddddd,74,2
sd,54,2
adawda wdasd a,42,2
ssd,40,2
boas,38,2
wdaw,34,2
ausdhyau,32,2
