Nome,Pontuacao,Nivel
Nabo Anónimo,1185,3
Nabo Anónimo,1032,3
f,993,3
h,990,3
d,606,3
ds,603,3
ko,513,3
f,447,3
j,408,3
Nabo Anónimo,351,3
