Nome,Pontuacao,Nivel
Nabo Anónimo,96,1
Nabo Anónimo,21,1
Nabo Anónimo,1185,3
Nabo Anónimo,106,1
f,993,3
Nabo Anónimo,198,1
awd,166,1
Nabo Anónimo,15,1
Nabo Anónimo,6,1
ddddddddddddd,74,2
