Nome,Pontuacao,Nivel
wad as,752,2
hj,102,2
ddddddddddddd,74,2
sd,54,2
adawda wdasd a,42,2
boas,38,2
ausdhyau,32,2
dawdaw,32,2
boas2.1,22,2
boas2,20,2
