Nome,Pontuacao,Nivel
armando,371,1
Nabo Anónimo,287,1
Nabo Anónimo,198,1
Nabo Anónimo,182,1
awd,166,1
Boassssssssss,137,1
ze,120,1
Nabo Anónimo,106,1
Nabo Anónimo,96,1
leonor,73,1
